"more","id"
"I request you, and have done that also in Berlin, to accept nothing I’ve ever said or will say on authority and believe.\n \nSource: Rudolf Steiner – GA121 (German language) – Kristiana (Oslo) 17 juni 1910","1310"
"The materialist believes that he hurts a man when he throws a stone at him, on the other hand he believes that a hate thought he cherishes towards his fellow man, does not hurt. But who really knows the world, knows that much, much stronger effects are caused by a hatred thought than ever can be caused by a thrown stone.\n \nSource: Rudolf Steiner – The Theosophy of the Rosicrusian – München 30 mei 1907","1309"
"From 1890-1897 Steiner worked at the Goethe-Archive at Weimar. Director was there Bernhard Suphan (1845-1911). In The Story of My Life Steiner writes about him:\n \nWhen I came to Weimar, and entered into a close relationship with Bernhard Suphan, he was a man sorely tried in his personal life. His first and second wives, who were sisters, he had seen buried at an early age. He lived now with his two children in Weimar, grieving over those who had left him, and not feeling any happiness in life. His sole satisfaction lay in the good will which the Grand-duchess Sophie, his profoundly honoured lady, bore to him. In this respect for her there was nothing servile: Suphan loved and admired the Grand-duchess in an entirely personal way.\n \nIn loyal dependence was Suphan devoted to Herman Grimm. He had previously been honoured as a member of the household of Grimm in Berlin, and had breathed with satisfaction the spiritual atmosphere of that home. But there was something in him which prevented him from getting adjusted to life. One could speak freely with him about the highest spiritual matters, yet something bitter would easily come into the conversation, something arising from his experiences. Most of all did this melancholy dominate in his own mind; then he would help himself past these experiences by means of a dry humour. So one could not feel warm in his company. He could in a moment grasp some great idea quite sympathetically, and then, without any transition, fall immediately into the petty and trivial. He always showed good will toward me. In the spiritual interests vital within my own soul he could take no part, and at times treated them from the view-point of his dry humour; but in the direction of my work in the Goethe Institute and in my personal life he felt the warmest interest. \n \nI cannot deny that I was often painfully disturbed by what Suphan did, the way in which he conducted himself in the management of the Institute, and the direction of the editing of Goethe; I never made any secret of this fact. Yet, when I look back upon the years which I passed with him, this is outweighed by a strong inner interest in the fate and the personality of the sorely tried man. He suffered in his life, and he suffered in himself. I saw how in a certain way, with all the good aspects of his character and all his capacities, he sank more and more into a bottomless brooding which rose up in his soul. When the Goethe and Schiller archives were moved to the new building erected in Ilm, Suphan said that he looked upon himself in relation to the opening of this building like one of those human victims who in primitive times were walled up before the doors of sacred buildings to sanctify the thing. He had really come gradually to fancy himself altogether in the role of one sacrificed on behalf of something with which he did not feel that he was wholly united. He felt that he was a beast of burden working at this Goethe task with which others with higher intellectual gifts might have been occupied. In this mood I always found him later whenever I met him after I had left Weimar. He ended his life by suicide in a mood of depression.\n \nSource: GA28 – Chapter 14","1308"
"For him, who wants to appreciate nothing in the world, hides the essence of things.\n \nSource: Rudolf Steiner – GA13 (German language)","1307"
"Often it is not just the wish the father of the thought, but all the feelings and habits are the parents of the thoughts. When we have some life experience, then we know how rarely someone can be convinced by logical arguments. Something that’s in the soul much deeper than logical viewpoints, is decisive.\n \nSource: Rudolf Steiner – The practical development of thinking – GA57 (German) – Berlin 11 February 1909","1306"
"All human suffering is merely a consequence of egoism and in a community of people will at some time unavoidable misery, distress and poverty show up, when this community in one way or another is based on the egoism.\n \nSource: Rudolf Steiner – Anthroposophy and the Social Question – GA34 (German)","1305"
"My knowledge of things of the spirit is a direct result of my own perception, and I am fully conscious of this fact. In all details and in the larger surveys I had always examined myself carefully as to whether every step I took in the progress of my perception was accompanied by a fully awake consciousness. Just as the mathematician advances from thought to thought without the unconscious or autosuggestion playing a role, so — I told myself — spiritual perception must advance from objective imagination to objective imagination without anything living in the soul but the spiritual content of clear, discerning consciousness.\n \nSource: Rudolf Steiner – GA13 – An Outline of Occult Science – Preface: Sixteenth to Twentieth Edition","1304"
"You will not become a good educator and pedagogue when you only look at what you do and not at what you are. The anthroposophical spiritual science actually exists for the following reason: in order to see the importance of the fact that the functioning of a man in the world is not only based on what he does, but especially on what he is.\n \nSource: Rudolf Steiner – GA293 (German) – Stuttgart 21 August 1919","1303"
"The greatest wisdom is obtained by patiently enduring pain and sorrow.\n \nSource: Rudolf Steiner – The Theosophy of the Rosicrusian – München 30 mei 1907","1302"
"If we study the spiritual science, we get help from the spiritual world. It is not just the things we learn, the insights. The beings of the higher hierarchies themselves help us if we know of them.\n \nSource: Rudolf Steiner – GA168 (German) – Zürich 10 oktober 1916","1301"
"We can also be grateful if someone gives us a little cake, although we actually would have expected the gift of a large cake.\n \nSource: Rudolf Steiner – GA239 (German)","1300"
"Patiently carried diseases manifest themselves in the next life often in the form of exceptional physical beauty. The outer beauty that we can discover in a human being is often acquired by diseases in the previous life.\n \nSource: The Theosophy of the Rosicrucians – Munich May 30, 1907","1299"
"Nobody who really knows the consequences of immorality, can be in reality immoral. The real effects of the causes one has to learn. Immorality exists just because people do not have insight, they do not know. Only the darkness of untruth makes immorality possible.\n \nSource: Rudolf Steiner – GA127 (German) – Bielefeld March 6, 1911","1298"
"The golden rule of true occult science: For every one step that you take in the pursuit of higher knowledge, take three steps in the perfection of your own character.\n \nSource: Rudolf Steiner – GA10 – Knowledge of the Higher Worlds And Its Attainment – The Control of Thoughts and Feelings\n \nTranslated by George Metaxa\n Revisions by Henry B. Monges","1297"
"Man’s task must be entirely sought for on this earth, and anyone desiring to shirk his earthly task and to escape into another world may be certain he will never reach his goal.\n \nSource: Rudolf Steiner – Knowledge of the Higher Worlds And Its Attainment – GA10","1296"
"Social problems are essentially pedagogical problems and pedagogical problems are essentially medical problems.\n \nSource: Rudolf Steiner – GA314 (German) – Dornach 7 april 1920","1295"
"Over the civilization of Europe hangs a dark cloud, and actually it is only to some extent surprising that mankind in general is so little willing this dark cloud … to feel, to perceive.\n \nSource: Biography Rudolf Steiner by Johannes Hemleben","1294"
"Again and again one can listen: this is my opinion, I think this or that. – As if it matters, what one or the other thinks! The point is much more to what the truth is!\n \nSource: Rudolf Steiner – GA145 (German) – The Hague 29 maart 1913","1293"
"Anthroposophie is not a religion but a tool for understanding of religions.\n \nSource: Rudolf Steiner – GA266a (German) – Berlin, 1903 or 1904","1292"
"The common trait of all evil is nothing other than egoism. […] Basically all human evil comes from what we call the selfishness.\n \nSource: Rudolf Steiner – GA063 (German)– Berlin 15 januari 1914 (page 240)","1291"
"The higher worlds are around us. These worlds are not only heavenly worlds, not only worlds of happiness, though paradise and happiness are in them, but they are also worlds that could be terrible for the people, by dangerous facts and creatures. If man wants to obtain knowledge of the greatness and happiness of these worlds, then is nothing else possible than that he also will be introduced to the dangerous, with the fearfulness that they contain. One is not possible without the other.\n \nSource: Rudolf Steiner – GA56 (German) – Berlin 12 december 1907 (page 143-144)","1290"
"What is conscience? The result of experiences through different incarnations. Ultimately all knowing, from the highest to the lowest, is the result of experience, it arises on the way of experiences.\n \nSource: Rudolf Steiner – GA95 (German) – Stuttgart 29 August 1906 (page 74)","1289"
"In life whole errors are in fact less worse than half or quarter truths. A whole error is quickly seen through. Half and quarter truths mislead people, so that they find their way into the lives and cause the most dreadful destructions.\n \nSource: Rudolf Steiner – GA193 (German) – Zürich 27 oktober 1919 (page 175)","1288"
"The sensory world is the school, without which the human being would never come to the spirit.\n \nSource (German): Rudolf Steiner – GA094 – Leipzig 30 juni 1906 (page 143)","1287"
"Grateful for his mistakes man should be the gods, because by overcoming the faults the stronger force is developed.\n \nSource: Rudolf Steiner – GA266b – Aus den Inhalten der esoterischen Stunden – München 11 december 1910 (page 117)","1286"
"We seldom have the need to go to other people, because we unselfishly love them, but mostly because they have properties that mean something to us or give us something.\n \nSource: Rudolf Steiner – GA266 b – Aus den Inhalten der esoterischen Stunden – München 10 januari 1912 (page 300)","1285"
"To think that I strive for happiness is a misunderstanding. I want to be productive and work as much as I can. And I want nothing else.\n \nSource: Letter Rudolf Steiner to Anna Eunike – Berlin 6 February 1904","1284"
"For centuries mankind has developed intellectual life. This intellectual life, gradually led humanity away from spirituality . The intellect is mind, even pure spirit, but does not have spiritual content. It finds its contents in external nature, the outer world of nature. So the mind is spirit, however, it is filled with something that cannot appear to him as Spirit. That is the great tragedy, the tragedy of the world today, that man can look into himself and must say: If I am mentally active, I am spiritually active, but at the same time spiritually powerless to immediately take this spirit into myself. I will fill this spirit with physical-sensory existence. – This causes fragmentation and isolates the human being. And even if one does not want to admit this fragmentation and abandonment, it is still present in the spiritual realms of the human soul, and forms the root of all evil. It is at the basis of the tragedy of our times.\n \nSource (German): Rudolf Steiner – GA211 – Das Sonnenmysterium und das Mysterium von Tod und Auferstehung – Wenen, 11 juni 1922 (p 2oo)\n \nTranslated by Nesta Carsten-Krüger","1283"
"All the great Founders of religions have been possessed of clairvoyant sight. They are the spiritual Guides of mankind, and their precepts are precepts of the moral life based on astral and spiritual truths. This explains the similarities in all the religions. There is a certain similarity, for instance, between the Eight-fold Path of the Buddha and the Eight Beatitudes of Christ. The same underlying truth is that whenever man develops one of the virtues, he unfolds a new faculty of perception.\n \nSource: Rudolf Steiner – GA094 – An Esoteric Cosmology Lecture X: The Astral World (continued) THE ASTRAL WORLD","1282"
"Spiritual science does not merely signify the acquisition of knowledge; it signifies most pre-eminently an education, a self-education of our souls. We make ourselves different; we have other interests. When a man imbues himself with spiritual science, the habits of attention for this or for that subject which he developed during previous years, alter. What interested him before, interests him no longer; that which had no interest for him previously, now begins to interest him in the highest degree. One ought not simply to say that only a person who has gone through esoteric development can attain to a connection with the spiritual world; esotericism does not begin with occult development. The moment we make any link with spiritual science with our whole heart, esotericism has already begun; our souls begin at once to be transformed. There then begins in us something resembling what would arise, let us say, in a being who had previously only been able to see light and darkness, and who then through a special and different organisation of the eyes, begins to see colours. The whole world would appear different to such a being.\n \nSource: Rudolf Steiner – Lecture 1: Spiritual Beings in the Heavenly Bodies and in the Kingdoms of Nature LECTURE 1 , April 3, 1912\n \nRudolf Steiner – GA136 – Die geistigen Wesenheiten in den Himmelskörpern und Naturreichen – Helsinki 3 April 1912 (p 19)","1281"
